year,coc_number,total_homeless,total_sheltered,total_unsheltered,total_population,house_price_index_2009,log_median_rent,utility_costs,percentage_owners_cost_burden_2016,percentage_renters_severe_cost_burden_2016,share_renters_2016,rental_vacancy_rate,high_housing_density,number_eviction,share_overcrowded_units_2016,city_or_urban,suburban,rate_unemployment,gini_coefficient_2016,poverty_rate,share_HUD_units,HUD_unit_occupancy_rate,share_built_before_1940,total_black,total_latino_hispanic,total_asian,total_pacific_islander,total_population_0_19,total_population_65_plus,total_female_population,net_migration,migration_4_year_change,proportion_one_person_households,share_under_18_with_single_parent,share_veteran_status,share_no_bachelors,medicare_reimbursements_per_enrollee,percentage_excessive_drinking,average_Jan_temperature,average_summer_temperature,total_Jan_precipitation,total_annual_precipitation
2016,AL-501,623.0,387.0,236.0,617451,-10.7436145148003,,,12.5391321182251,27.2319202423096,32.109203338623,,0,2267,1.71273577213287,1,0,6.4508490562439,46.713249206543,16.3810558319092,5.10357666015625,84.5996856689453,,164991,20389,10175,259,158477,100416,320508,2362,,,,,,8.5634273287435,,48.7359962463379,81.6632766723633,4.64502334594727,70.5823822021484
2017,AL-501,606.0,341.0,265.0,622361,-8.50700364834503,1.858393907547,18.8998394012451,12.5391321182251,27.2319202423096,32.109203338623,19.4248142242432,0,2260,1.71273577213287,1,0,6.22268533706665,46.713249206543,16.6091709136963,4.81906032562256,87.0008010864258,3.68171644210815,166050,21046,10511,238,158537,104013,323422,3520,0.208838671445847,28.982967376709,33.6681289672852,11.6479225158691,74.54345703125,8.70952230091538,0.165461212396622,57.8933601379395,81.9399490356445,12.2966661453247,58.5190124511719
2010,AL-502,170.0,162.0,8.0,262136,0.0,,,10.3746938705444,21.5884666442871,27.7082061767578,,0,252,1.53998792171478,0,0,12.7327699661255,45.1655464172363,17.3093357086182,4.57120323181152,93.897575378418,,26568,9077,910,59,64879,43072,134572,-259,,,,,,8.9315091788995,,34.7595748901367,76.2085266113281,5.28385162353516,66.5435104370117
2011,AL-502,244.0,234.0,10.0,268576,-2.576938509646,1.23924326896667,18.454568862915,10.3746938705444,21.5884666442871,27.7082061767578,6.66584444046021,0,302,1.53998792171478,0,0,11.6232786178589,45.1655464172363,18.7686157226563,4.67252206802368,95.2808685302734,6.20116996765137,24383,9806,1119,59,67095,44987,138029,-257,,27.6116275787354,28.1022129058838,11.0608777999878,82.89599609375,8.92999870792625,,36.1337852478027,80.6800079345703,4.73254203796387,47.5405082702637
2012,AL-502,192.0,188.0,4.0,267955,-3.60679102115886,,,10.3746938705444,21.5884666442871,27.7082061767578,,0,292,1.53998792171478,0,0,10.1901483535767,45.1655464172363,18.5557270050049,4.66117334365845,95.6578903198242,,24340,10105,1166,59,66059,45339,137678,-103,,,,,,9.00628345804333,,45.6583824157715,79.7036743164063,6.54650497436523,60.8708877563477
2013,AL-502,223.0,197.0,26.0,267350,-3.77260350281512,1.23924326896667,18.454568862915,10.3746938705444,21.5884666442871,27.7082061767578,6.66584444046021,0,296,1.53998792171478,0,0,8.45664405822754,45.1655464172363,19.7265758514404,4.64664363861084,94.8934936523438,6.20116996765137,24445,10276,1218,69,65181,46699,137593,-264,,27.6116275787354,28.1022129058838,11.0608777999878,82.89599609375,8.97764365169254,,44.2803649902344,77.8700103759766,8.52760601043701,49.6925163269043
2014,AL-502,209.0,189.0,20.0,266698,-4.08713547441388,,,10.3746938705444,21.5884666442871,27.7082061767578,,0,331,1.53998792171478,0,0,7.86258792877197,45.1655464172363,18.2393569946289,4.64589691162109,95.8012847900391,,24322,10476,1223,89,64243,47758,137196,-141,,,,,,8.62586445406415,,32.9906272888184,76.1930618286133,2.24717211723328,60.5101089477539
2015,AL-502,245.0,214.0,31.0,266715,-3.26701227676107,1.36201024055481,18.803186416626,10.3746938705444,21.5884666442871,27.7082061767578,7.21840572357178,0,356,1.53998792171478,0,0,7.79207515716553,45.1655464172363,18.5610122680664,4.43712568283081,94.8182983398438,5.1500072479248,24291,10582,1270,110,63778,48781,137171,489,,28.3292980194092,27.9593162536621,9.1350154876709,82.3326568603516,8.79099622019759,,38.629581451416,75.7143707275391,4.13233709335327,57.4532356262207
2016,AL-502,337.0,286.0,51.0,265418,-0.874515595604052,,,10.3746938705444,21.5884666442871,27.7082061767578,,0,329,1.53998792171478,0,0,7.22601413726807,45.1655464172363,18.217679977417,4.43575620651245,94.9656066894531,,24050,10862,1259,113,62961,49695,136441,-846,,,,,,8.98265680560475,,38.2885627746582,77.9791564941406,4.05465984344482,62.4984359741211
2017,AL-502,155.0,133.0,22.0,265264,0.751166709357832,1.36201024055481,18.803186416626,10.3746938705444,21.5884666442871,27.7082061767578,7.21840572357178,0,430,1.53998792171478,0,0,6.58960342407227,45.1655464172363,16.5759391784668,4.34119129180908,95.1786651611328,5.1500072479248,23966,11156,1300,125,62747,50588,136329,353,0.231821924448013,28.3292980194092,27.9593162536621,9.1350154876709,82.3326568603516,8.96719459677906,0.149407356977463,48.3821029663086,79.4299850463867,5.46299886703491,44.7786178588867
